AAQZ312313FGZJIS31,Rosanna,Pleace,Peiser,1959-07-10,326,Mexico,2023-05-26
AAQZ312313FGZJIS31,Rosanna,Pleace,Peiser,1959-07-10,540,Jordania,2023-04-28
AAQZ312313FGZJIS31,Rosanna,Pleace,Peiser,1959-07-10,76,India,2023-01-30
ABKF795220HLVGBB36,Pauli,Routham,Bossel,1971-01-14,286,India,2022-09-15
ABKF795220HLVGBB36,Pauli,Routham,Bossel,1971-01-14,985,Grecia,2023-02-06
ABKF795220HLVGBB36,Pauli,Routham,Bossel,1971-01-14,995,Mexico,2023-09-06
ADQL812042HFOFES00,Reinhold,Bartrop,Bock,2001-11-26,595,Grecia,2023-08-31
ADQL812042HFOFES00,Reinhold,Bartrop,Bock,2001-11-26,819,Egipto,2023-09-09
AFHC306924FDXTZU01,Camille,Donavan,Vaux,1936-07-22,357,Jordania,2023-02-03
AFUF560869HFVLHS05,Pooh,Vevers,Rosita,1967-07-21,379,India,2023-02-23
AFUF560869HFVLHS05,Pooh,Vevers,Rosita,1967-07-21,501,Jordania,2023-03-20
AFUF560869HFVLHS05,Pooh,Vevers,Rosita,1967-07-21,571,Jordania,2023-03-05
AFUF560869HFVLHS05,Pooh,Vevers,Rosita,1967-07-21,899,Grecia,2023-05-04
AFUF560869HFVLHS05,Pooh,Vevers,Rosita,1967-07-21,90,Grecia,2023-01-08
AGLH067424HLAYVU75,Rennie,Knewstubb,Yellowlees,1935-09-11,323,Peru,2022-10-27
AHWO112690FMGGYY76,Kaitlin,Eeles,Danielkiewicz,1992-04-21,524,Mexico,2022-11-30
AIHE814246FSIXUV19,Hunter,Carrick,Payne,1943-06-25,756,Grecia,2023-01-31
AIHE814246FSIXUV19,Hunter,Carrick,Payne,1943-06-25,949,Jordania,2023-01-23
AIUR680981FMCRMF94,Major,Ramsdell,Donnel,1926-09-07,965,Peru,2023-06-04
AJAV465929HVXXQE38,Welsh,Huster,Ewols,1946-04-12,778,Egipto,2022-12-22
AJUR495066FCNQEB02,Winthrop,Copeland,McDonagh,1973-02-28,141,Egipto,2023-05-14
AJUR495066FCNQEB02,Winthrop,Copeland,McDonagh,1973-02-28,255,India,2023-06-02
AJUR495066FCNQEB02,Winthrop,Copeland,McDonagh,1973-02-28,621,Grecia,2022-11-14
AKCW523194HVNXTK64,Crysta,Luter,Teasell,1985-08-24,40,India,2023-07-04
AKCW523194HVNXTK64,Crysta,Luter,Teasell,1985-08-24,699,Jordania,2023-05-25
AKEX120605FWVDAC72,Gaultiero,Naptine,Ibbitson,1974-03-08,199,Peru,2023-09-06
AKEX120605FWVDAC72,Gaultiero,Naptine,Ibbitson,1974-03-08,859,Peru,2022-10-11
AKNA945264FOYNPA35,Konstanze,Hulatt,Cockson,1938-06-27,24,EUA,2023-05-22
AKNA945264FOYNPA35,Konstanze,Hulatt,Cockson,1938-06-27,98,Francia,2022-11-23
ALOR749783FOPMGR48,Geordie,Tolmie,Strauss,1995-02-20,46,Malasia,2023-02-12
ANYZ577121FJBXES90,Yoshiko,Gilmore,Bourdice,1978-08-23,171,Peru,2023-07-24
AOCQ113184FYXIDY13,Helenelizabeth,Schwartz,Pettigree,1952-09-14,147,Egipto,2023-03-04
AQHO978348HFDDNU69,Pavia,Diggins,Sorrel,1931-06-07,41,EUA,2022-11-09
AQHO978348HFDDNU69,Pavia,Diggins,Sorrel,1931-06-07,57,Malasia,2023-05-07
AQHO978348HFDDNU69,Pavia,Diggins,Sorrel,1931-06-07,84,Francia,2023-01-01
